status,product_area,response,justification,request_type
replied,HackerRank,"Based on our documentation:
1. interview settings page and tick the check box Enable Virtual Lobby. ![Enable_Virtual_Lobby_Q1_2023.jpg](https://assets.usepylon.com/e6a58e21-be80-4777-9eaf-f73beeee94d9%2F1734046570760-?Expires=253370764800&Signature=pEmYP3OuUmswEalz9Q1Sq5x-jgmWsWHa6nDQ5TBOPj55nF3gjYKQ9OAHsDKzFu9NXMJvlCTWPiKMcvTzU-3wvjjNf6FsXTXGGSCoZhIyteYwzPf7WE8UTIWzoBEval~TjYMYa0xMtmctDxMdcYnicxrjQjvIvHVutR8o7WiPs7NblUeIS-fZsxWtYWHM-pOR~xiym2DjDqjOFuR62rtdgf7eWxgJ8VGWZ~Flqo~hwSfHlv0z2pJt-wChmhBVEuW6iSTqwde0qs-CXrI1eyqGqYrskBoLkKVXDmbX2ogtRvirRCzxQj0HgYnIdgTfdNdBGgg~jxgeImVROQEDInfVCA__&Key-Pair-Id=K3NV4LZ47N8M46) *Enabling Virtual Lobby* ## Candidate Lobby The candidate’s lobby is a virtual waiting room for candidates to wait before entering the interview. Inside the lobby, candidates will get the real-time status of all (source: 1151935613-using-virtual-lobby-in-hackerrank-interviews.md#chunk-2)
2. Workday? Yes. The first time we send results to Workday is at the end of the test, once the report is generated. After that, any user action in HackerRank for Work that changes the candidate report will be synced back to Workday. The most important (source: 1999755553-workday---hackerrank-tests-user-guide.md#chunk-5)
3. is the review process for making a decision? Many times a senior-level candidate will never receive a test. This will need to be decided upfront and may vary from candidate to candidate and from role to role. ## Phase 2: Screen Whereas early-talent and mid-level (source: 2625349560-professional-hire.md#chunk-2)",prompt_injection=pass; high_risk=pass; domain=HackerRank; domain_confidence=0.90; domain_ambiguity=pass; request_type=product_issue; request_confidence=0.70; classifier_provider=deterministic; authority=pass; retrieval_docs=3; retrieval_confidence=0.124; generator_provider=deterministic; retrieval_docs=3; avg_similarity=0.119,product_issue
escalated,general,We cannot safely resolve this automatically. A human specialist has been engaged.,Vague outage report with no identifiable product domain.,bug
replied,HackerRank,"Based on our documentation:
1. generated.\ You can add or remove attendees before the interview and still be able to use the same link.\ Whenever a candidate logs in, we will record their name and update the Interview with their details.\ A similar will happen to the interviewer's information.\ \ (source: 2480863637-hackerrank-interview-and-outlook-calendar-integration.md#chunk-4)
2. view, edit, and use questions, and view insights. 1. Click **Save**. After you save the changes, the users or teams and their assigned roles appear below the search field. # Transferring ownership of a question **Note:** You must share the question with the team member (source: 6697457900-share-a-question.md#chunk-2)
3. the interview and still be able to use the same link. Whenever a candidate logs in, we will record their name and update the Interview with their details. Similar will happen for the interviewer's information. ### I do not see the time and schedule information (source: 1262999130-hackerrank-interview-and-google-calendar-integration.md#chunk-4)",prompt_injection=pass; high_risk=pass; domain=HackerRank; domain_confidence=0.75; domain_ambiguity=pass; request_type=product_issue; request_confidence=0.70; classifier_provider=deterministic; authority=pass; retrieval_docs=3; retrieval_confidence=0.098; generator_provider=deterministic; retrieval_docs=3; avg_similarity=0.096,product_issue
replied,HackerRank,"Based on our documentation:
1. --- title: ""Pause Subscription"" title_slug: ""pause-subscription"" source_url: ""https://support.hackerrank.com/articles/5157311476-pause-subscription"" article_slug: ""5157311476-pause-subscription"" last_updated_exact: ""Mar 6, 2026, 12:18 AM"" last_updated_relative: ""Last updated 2 months ago"" breadcrumbs: - ""Settings"" - ""User Account Settings and Preferences"" --- # Pause Subscription _Last updated: Mar 6, 2026, 12:18 AM (Last updated 2 (source: 5157311476-pause-subscription.md#chunk-1)
2. --- title: ""Cancel Subscription Cancelling subscription"" title_slug: ""cancel-subscription-cancelling-subscription"" source_url: ""https://support.hackerrank.com/articles/3131912618-cancel-subscription"" article_slug: ""3131912618-cancel-subscription"" last_updated_exact: ""Mar 10, 2026, 12:16 PM"" last_updated_relative: ""Last updated 2 months ago"" breadcrumbs: - ""Settings"" - ""User Account Settings and Preferences"" --- # Cancel Subscription Cancelling subscription _Last updated: Mar 10, 2026, 12:16 (source: 3131912618-cancel-subscription.md#chunk-1)
3. the desired pause duration: - Minimum: **1 month** - Maximum: **12 months** ![mceclip2.png](https://assets.usepylon.com/e6a58e21-be80-4777-9eaf-f73beeee94d9%2F1735204607902-1734046451740--a352e7b2-dee6-4e9d-8d00-d14cff821580?Expires=253370764800&Signature=QWxwujBCaWzp6SnvJtn76OflxBcHuRW24LhnnF29J2lQ-2W0RtMuKqfiApOBmd2wcqmI7Ko5uKNuoV5kwojytPjLfvXPz6~~nt7GXEBknj61WobxMUl3hRnii~c37lC86j3lYIDqWy9y9rSZksEoRHx8g6DepxgK-K-PaMr4tuJ~2UmgU-Yv5NhPbDj8LMOeuSZ-IXuJKS4QZ0ml-ZdvL7bYCIq8HTdmlB0wvR60SohsKpXiilgM5PFW9tD1s70fPEmC4mtWofU3ELYf-z3eF~iuacaz6ajsFiCN4hzg~IWCpQrkb0zjxZTvwPcDYMNctC2Jrp3BKpUV2-Z1Ofq9QQ__&Key-Pair-Id=K3NV4LZ47N8M46) - **Confirm Pause** - Click **Confirm Pause**. A confirmation message will appear, displaying the pause duration and the automatic resume date. ### Resuming Your Subscription If you attempt to log in during (source: 5157311476-pause-subscription.md#chunk-2)",prompt_injection=pass; high_risk=pass; domain=HackerRank; domain_confidence=0.60; domain_ambiguity=pass; request_type=product_issue; request_confidence=0.80; classifier_provider=deterministic; authority=pass; retrieval_docs=3; retrieval_confidence=0.384; generator_provider=deterministic; retrieval_docs=3; avg_similarity=0.256,product_issue
escalated,Claude,We cannot safely resolve this automatically. A human specialist has been engaged.,Insufficient retrieval confidence. Escalated to avoid hallucination.,product_issue
escalated,Visa,We cannot safely resolve this automatically. A human specialist has been engaged.,High-risk/sensitive case detected.,invalid
replied,HackerRank,"Based on our documentation:
1. --- title: ""Create a Resume with Resume Builder"" title_slug: ""create-a-resume-with-resume-builder"" source_url: ""https://help.hackerrank.com/articles/9106957203-create-a-resume-with-resume-builder"" article_slug: ""9106957203-create-a-resume-with-resume-builder"" last_updated_exact: ""Mar 7, 2025, 4:17 PM"" last_updated_relative: ""Last updated 1 year ago"" breadcrumbs: - ""Additional Resources"" - ""Job Search and Applications"" --- # Create a Resume with Resume Builder _Last updated: (source: 9106957203-create-a-resume-with-resume-builder.md#chunk-1)
2. Click **Upload a Resume** or **Choose from Resume Builder**. - To upload a file, drag and drop your resume or click **Choose File** (PDF format, up to 5 MB). - To use the resume builder, select a resume from the preview pane and click **Choose (source: 1560975739-search-for-jobs.md#chunk-2)
3. side. ## Optimize your resume An optimized resume improves your chances of being noticed by recruiters. HackerRank Resume Builder provides AI-powered tools to enhance your resume, ensuring it aligns with job descriptions and industry standards. ### Resume Matcher Ensure your resume aligns with job descriptions (source: 9106957203-create-a-resume-with-resume-builder.md#chunk-3)",prompt_injection=pass; high_risk=pass; domain=HackerRank; domain_confidence=0.60; domain_ambiguity=pass; request_type=product_issue; request_confidence=0.70; classifier_provider=deterministic; authority=pass; retrieval_docs=3; retrieval_confidence=0.528; generator_provider=deterministic; retrieval_docs=3; avg_similarity=0.392,product_issue
replied,HackerRank,"Based on our documentation:
1. --- title: ""Download Certificate"" title_slug: ""download-certificate"" source_url: ""https://help.hackerrank.com/articles/2077861863-download-certificate"" article_slug: ""2077861863-download-certificate"" last_updated_exact: ""Mar 10, 2025, 2:47 PM"" last_updated_relative: ""Last updated 1 year ago"" breadcrumbs: - ""Certifications"" --- # Download Certificate _Last updated: Mar 10, 2025, 2:47 PM (Last updated 1 year ago)_ You can download your (source: 2077861863-download-certificate.md#chunk-1)
2. --- title: ""Certifications FAQs"" title_slug: ""certifications-faqs"" source_url: ""https://help.hackerrank.com/articles/8941367927-certifications-faqs"" article_slug: ""8941367927-certifications-faqs"" last_updated_exact: ""Apr 1, 2026, 2:32 PM"" last_updated_relative: ""Last updated 4 weeks ago"" breadcrumbs: - ""Certifications"" --- # Certifications FAQs _Last updated: Apr 1, 2026, 2:32 PM (Last updated 4 weeks ago)_ **Can I update the (source: 8941367927-certifications-faqs.md#chunk-1)
3. request a date change on my certificate?** No, certificate date cannot be changed after they are issued. \ \ (source: 8941367927-certifications-faqs.md#chunk-3)",prompt_injection=pass; high_risk=pass; domain=HackerRank; domain_confidence=0.75; domain_ambiguity=pass; request_type=product_issue; request_confidence=0.70; classifier_provider=deterministic; authority=pass; retrieval_docs=3; retrieval_confidence=0.262; generator_provider=deterministic; retrieval_docs=3; avg_similarity=0.207,product_issue
replied,Visa,"Based on our documentation:
1. my balance, etc.? To log in to your credit card account, please visit your issuer or bank website. The website and freephone number (only free when dialling from within the USA) may be located on the front or back of your Visa card. If you (source: support.md#chunk-7)
2. --- title: ""Dispute Resolution"" source_url: ""https://www.visa.co.in/support/small-business/dispute-resolution.html"" final_url: ""https://www.visa.co.in/support/small-business/dispute-resolution.html"" last_modified: ""2023-11-28T01:50:01.804Z"" description: ""Learn the basics about how to handle disputes and resolve disputes quickly."" --- # Dispute Resolution _Last modified: 2023-11-28T01:50:01.804Z_ - # Resolve disputes quickly Learn the basics about how to handle disputes. ## Protect (source: dispute-resolution.md#chunk-1)
3. | Trinidad and Tobago | 1 800 847 2911 | | Turkey | 00 800 13 535 0900 | | Turks and Caicos | 0 1 800 847 2911 | | U.S. Virgin Islands | 1 800 847 2911 | | Ukraine | 800 502 (source: support.md#chunk-6)",prompt_injection=pass; high_risk=pass; domain=Visa; domain_confidence=0.60; domain_ambiguity=pass; request_type=product_issue; request_confidence=0.80; classifier_provider=deterministic; authority=pass; retrieval_docs=3; retrieval_confidence=0.156; generator_provider=deterministic; retrieval_docs=3; avg_similarity=0.117,product_issue
escalated,Claude,We cannot safely resolve this automatically. A human specialist has been engaged.,High-risk/sensitive case detected.,invalid
replied,Claude,"Based on our documentation:
1. --- title: ""Does Anthropic crawl data from the web, and how can site owners block the crawler?"" title_slug: ""does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler"" source_url: ""https://support.claude.com/en/articles/8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler"" last_updated_iso: ""2026-04-07T21:18:35Z"" article_id: ""9027581"" breadcrumbs: - ""Privacy and legal"" --- # Does Anthropic crawl data from the web, and how can site owners block (source: 8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler.md#chunk-1)
2. not crawl”* signals by honoring industry standard directives in robots.txt. - Anthropic’s Bots *respect anti-circumvention technologies *(e.g., we will not attempt to bypass CAPTCHAs for the sites we crawl.) To limit crawling activity, we support the non-standard Crawl-delay extension to robots.txt. An example of this (source: 8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler.md#chunk-2)
3. Website owners can opt out of Claude crawler indexing through robots.txt and published crawler controls. Crawler policy changes can take time to propagate across distributed crawling systems. Support can confirm policy syntax but cannot guarantee immediate recrawl behavior. (source: crawler_controls.txt#chunk-1)",prompt_injection=pass; high_risk=pass; domain=Claude; domain_confidence=0.75; domain_ambiguity=pass; request_type=product_issue; request_confidence=0.70; classifier_provider=deterministic; authority=pass; retrieval_docs=3; retrieval_confidence=0.133; generator_provider=deterministic; retrieval_docs=3; avg_similarity=0.110,product_issue
replied,Visa,"Based on our documentation:
1. place. Always keep your credit card number and the three-digit CVV2 code on the back of your Visa card confidential. ### Get in touch with your bank Check that your bank or credit card company has updated contact information. Tell them where and when you’ll (source: travel-support.md#chunk-3)
2. in the terminal until the transaction is complete. ### Check the card While the transaction is being processed, check the card’s unique design features and security elements, if possible. Make sure the card is valid and has not been altered in any way. ### Get (source: fraud-protection.md#chunk-2)
3. my balance, etc.? To log in to your credit card account, please visit your issuer or bank website. The website and freephone number (only free when dialling from within the USA) may be located on the front or back of your Visa card. If you (source: support.md#chunk-7)",prompt_injection=pass; high_risk=pass; domain=Visa; domain_confidence=0.90; domain_ambiguity=pass; request_type=product_issue; request_confidence=0.70; classifier_provider=deterministic; authority=pass; retrieval_docs=3; retrieval_confidence=0.143; generator_provider=deterministic; retrieval_docs=3; avg_similarity=0.114,product_issue
